stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1128600,,"Carrefour Aboboté R","",5.411031,-4.006286,,,0,AB001,,,
1128601,,"Carrefour Aboboté A","",5.410875,-4.006383,,,0,AB001,,,
1128700,,"Carrefour Mauritanien R","",5.408661,-4.006314,,,0,AB002,,,
1128701,,"Carrefour Mauritanien A","",5.408147,-4.006378,,,0,AB002,,,
1128800,,"Pharmacie Dokui R","",5.404844,-4.006356,,,0,AB003,,,
1128801,,"Pharmacie Dokui A","",5.404617,-4.006475,,,0,AB003,,,
1128900,,"SGBCI Dokui R","",5.402028,-4.006422,,,0,AB004,,,
1128901,,"SGBCI Dokui A","",5.401856,-4.006539,,,0,AB004,,,
1129000,,"Pharmacie Azur R","",5.399475,-4.006444,,,0,AB005,,,
1129001,,"Pharmacie Azur A","",5.399142,-4.006578,,,0,AB005,,,
1129100,,"Arret Dokui R","",5.397258,-4.006331,,,0,AB006,,,
1129101,,"Arret Dokui A","",5.397033,-4.006417,,,0,AB006,,,
1129200,,"Collège Larousse R","",5.393033,-4.0058,,,0,AB007,,,
1129201,,"Collège Larousse A","",5.392461,-4.00585,,,0,AB007,,,
1129300,,"Carrefour Bandji R","",5.387331,-4.005644,,,0,AB008,,,
1129301,,"Carrefour Bandji A","",5.387072,-4.005828,,,0,AB008,,,
1129400,,"HMA R","",5.382933,-4.006253,,,0,AB009,,,
1129401,," HMA A","",5.382744,-4.006408,,,0,AB009,,,
1129500,,"Carrefour Zoo R","",5.379158,-4.006731,,,0,AB010,,,
1129501,,"Carrefour Zoo A","",5.379042,-4.006908,,,0,AB010,,,
1129600,,"Nouvelle Mairie Abobo A","",5.420092,-4.016319,,,0,AC001,,,
1129601,,"Nouvelle Mairie Abobo R","",5.419811,-4.016011,,,0,AC001,,,
1129700,,"Ciné Cool A","",5.41885,-4.013972,,,0,AC002,,,
1129701,,"Ciné Cool R","",5.418608,-4.013844,,,0,AC002,,,
1129800,,"Supermarché Bon Prix A","",5.417258,-4.011011,,,0,AC003,,,
1129801,,"Supermarché Bon Prix R","",5.416994,-4.010717,,,0,AC003,,,
1129900,,"Carrefour Samaké R","",5.41595,-4.008353,,,0,AC004,,,
1129901,,"Carrefour Samaké A","",5.415522,-4.0079,,,0,AC004,,,
1130200,,"Station SHELL R","",5.422381,-4.009628,,,0,AD003,,,
1130201,,"Station SHELL A","",5.420828,-4.010219,,,0,AD003,,,
1130300,,"College Nouvel Horizon R","",5.418989,-4.011003,,,0,AD004,,,
1130301,,"College Nouvel Horizon A","",5.419197,-4.011069,,,0,AD004,,,
1130400,,"Gare Sotra Abobo","",5.435625,-4.015172,,,0,AE001,,,
1130500,,"Arret Cite ABOBO","",5.435128,-4.013428,,,0,AE002,,,
1130600,,"Pharmacie Sogefia R","",5.433714,-4.012183,,,0,AE003,,,
1130601,,"Pharmacie Sogefia A","",5.433544,-4.012333,,,0,AE003,,,
1130700,,"15e  Arrondissement R","",5.432647,-4.013306,,,0,AE004,,,
1130701,,"15e Arrondissement A","",5.432742,-4.013639,,,0,AE004,,,
1130800,,"EPP Anges Noirs R","",5.432414,-4.014642,,,0,AE005,,,
1130801,,"EPP Anges Noirs A","",5.431625,-4.01475,,,0,AE005,,,
1130900,,"Lycée Moderne Abobo R","",5.429656,-4.014544,,,0,AE006,,,
1130901,,"Lycée Moderne Abobo A","",5.427875,-4.014608,,,0,AE006,,,
1131200,,"Arrêt BANCO R","",5.412928,-4.015911,,,0,AF002,,,
1131201,,"Arrêt Banco A","",5.413769,-4.016164,,,0,AF002,,,
1131300,,"Collège st Joseph R","",5.417056,-4.016603,,,0,AF003,,,
1131301,,"Collège St Joseph A","",5.418492,-4.017342,,,0,AF003,,,
1131800,,"Rond Point Mairie Abobo","",5.4205,-4.0178,,,0,AF008,,,
1131900,,"AGRIPAC","",5.443958,-4.048683,,,0,AG002,,,
1132000,,"Gare routière R","",5.439092,-4.043889,,,0,AG003,,,
1132001,,"Gare Routière A","",5.439125,-4.044522,,,0,AG003,,,
1132100,,"Lycée Municipal","",5.438439,-4.038903,,,0,AG004,,,
1132101,,"Anokoi Kouté","",5.438033,-4.0385,,,0,AG004,,,
1132200,,"Arrêt Dépot 9 R","",5.437797,-4.034956,,,0,AG005,,,
1132201,,"Arrêt Dépot 9 A","",5.437581,-4.034828,,,0,AG005,,,
1132300,,"Marché de nuit A","",5.436514,-4.029889,,,0,AG006,,,
1132301,,"Marche de nuit","",5.436622,-4.030647,,,0,AG006,,,
1132400,,"Collège IRIS 2 R","",5.432964,-4.025953,,,0,AG007,,,
1132401,,"Collège IRIS 2 A","",5.433028,-4.026483,,,0,AG007,,,
1132500,,"Pharmacie Téhoua","",5.431014,-4.024275,,,0,AG008,,,
1132501,,"Pharmacie Tehoua","",5.430839,-4.024592,,,0,AG008,,,
1132600,,"Terminus 77","",5.428014,-4.021817,,,0,AG009,,,
1132601,,"Arrêt Gendarmerie R","",5.428328,-4.022025,,,0,AG009,,,
1132700,,"Maquis Chocolaté","",5.426519,-4.020919,,,0,AG010,,,
1132800,,"Terminus Sagbé","",5.414872,-4.033383,,,0,AH001,,,
1132900,,"Pharmacie St Antoine R","",5.414892,-4.029286,,,0,AH002,,,
1132901,,"Pharmacie St Antoine A","",5.414786,-4.029497,,,0,AH002,,,
1133300,,"Taxi Gare A","",5.443917,-4.052883,,,0,AI001,,,
1133301,,"Taxi Gare R","",5.443819,-4.053206,,,0,AI001,,,
1133400,,"Carrefour Diallo A","",5.443811,-4.055939,,,0,AI002,,,
1133401,,"Carrefour Diallo R","",5.443767,-4.0557,,,0,AI002,,,
1133500,,"Carrefour Celeste A","",5.443694,-4.060544,,,0,AI003,,,
